22.98,125.94,332
0.00,131.65,134.63,332
0.00,130.12,132.03,332
0.00,127.12,128.24,332
0.00,124.92,126.28,332
0.00,124.40,126.21,332
0.00,124.02,126.69,332
0.00,124.02,127.04,332
0.00,124.01,127.30,332
0.00,124.01,126.95,332
0.00,122.93,125.07,332
0.00,121.87,123.97,332
0.00,121.90,123.98,332
0.00,122.20,124.53,332
0.00,122.69,125.46,332
0.00,122.77,125.61,332
0.00,122.02,124.63,332
0.00,122.29,125.54,332
0.00,122.75,125.94,332
0.00,122.55,125.95,332
0.00,121.86,125.43,332
0.00,121.09,124.23,332
0.00,120.79,123.09,332
0.00,119.77,122.25,332
0.00,119.02,121.64,332
0.00,118.47,121.20,332
0.00,118.35,121.69,332
0.00,119.33,123.66,332
0.00,122.49,128.08,332
0.00,128.03,135.35,332
0.00,136.66,146.33,332
0.00,148.10,160.56,332
0.00,161.58,176.62,332
0.00,173.31,188.34,332
0.00,181.60,195.27,332
0.00,183.87,194.39,332
0.00,180.12,186.72,332
0.00,171.99,174.64,332
0.00,162.26,162.04,332
0.00,152.20,149.87,332
0.00,143.77,140.72,332
0.00,137.89,134.85,332
0.00,133.60,131.65,332
0.00,131.00,130.66,332
0.00,129.65,129.94,332
0.00,128.12,128.34,332
0.00,126.74,127.71,332
0.00,125.46,126.17,332
0.00,123.44,123.96,332
0.00,120.89,121.81,332
0.00,119.57,120.51,332
0.00,118.88,120.64,332
0.00,119.18,121.55,332
0.00,119.94,122.48,332
0.00,121.04,124.24,332
0.00,121.57,124.72,332
0.00,121.14,123.44,332
0.00,120.30,121.97,332
0.00,120.22,122.52,332
0.00,120.70,123.19,332
0.00,120.51,123.41,332
0.00,120.64,123.30,332
0.00,121.01,124.03,332
0.00,122.36,126.18,332
0.00,124.15,128.29,332
0.00,124.92,128.75,332
0.00,124.40,127.47,332
0.00,123.75,126.26,332
0.00,123.55,126.46,332
0.00,124.21,127.42,332
0.00,124.96,128.12,332
0.00,125.78,128.62,332
0.00,127.19,130.62,332
0.00,128.22,131.53,332
0.00,129.51,133.01,332
0.00,130.73,133.82,332
0.00,131.07,133.87,332
0.00,130.24,132.28,332
0.00,128.55,130.04,332
0.00,127.32,128.68,332
0.00,126.43,128.50,332
0.00,126.58,129.44,332
0.00,127.77,131.49,332
0.00,128.92,133.25,332
0.00,129.75,133.99,332
0.00,130.63,135.07,332
0.00,131.27,135.59,332
0.00,131.20,135.16,332
0.00,131.68,135.93,332
0.00,132.31,136.49,332
0.00,133.58,138.52,332
0.00,135.31,140.27,332
0.00,135.50,139.93,332
0.00,135.09,138.87,332
0.00,134.26,137.82,332
0.00,135.00,138.68,332
0.00,136.35,140.66,332
0.00,137.88,142.37,332
0.00,139.26,143.89,332
0.00,139.46,143.38,332
0.00,138.26,141.39,332
0.00,137.65,141.01,332
0.00,138.28,141.82,332
0.00,139.83,144.03,332
0.00,141.49,145.91,332
0.00,143.25,147.56,332
0.00,144.53,148.22,332
0.00,144.12,147.08,332
0.00,143.01,145.98,332
0.00,142.19,144.90,332
0.00,141.87,145.20,332
0.00,141.91,145.42,332
0.00,141.39,144.49,332
0.00,139.66,141.66,332
0.00,137.59,138.51,332
0.00,135.00,135.13,332
0.00,132.03,131.58,332
0.00,130.13,130.07,332
0.00,129.83,130.86,332
0.00,130.14,131.71,332
0.00,129.56,130.98,332
0.00,127.52,128.28,332
0.00,124.95,124.96,332
0.00,123.61,124.16,332
0.00,122.91,124.66,332
0.00,122.66,124.75,332
0.00,121.40,123.20,332
0.00,119.13,120.44,332
0.00,116.67,117.62,332
0.00,116.22,117.99,332
0.00,116.70,119.62,332
0.00,117.59,120.80,332
0.00,118.24,121.12,332
0.00,118.45,121.36,332
0.00,118.33,120.99,332
0.00,117.16,119.64,332
0.00,116.30,118.93,332
0.00,116.49,119.22,332
0.00,117.17,120.51,332
0.00,118.74,122.80,332
0.00,120.97,125.83,332
0.00,122.33,126.69,332
0.00,122.78,126.77,332
0.00,122.57,126.56,332
0.00,122.96,126.95,332
0.00,122.97,127.23,332
0.00,123.25,127.44,332
0.00,123.18,127.05,332
0.00,122.86,126.23,332
0.00,122.36,125.09,332
0.00,121.45,124.25,332
0.00,120.79,123.64,332
0.00,120.58,123.47,332
0.00,120.69,123.88,332
0.00,121.04,124.73,332
0.00,121.84,126.42,332
0.00,123.78,128.74,332
0.00,124.92,129.62,332
0.00,125.21,128.64,332
0.00,124.61,127.39,332
0.00,124.45,127.55,332
0.00,123.79,126.59,332
0.00,122.76,125.35,332
0.00,122.83,125.53,332
0.00,124.49,128.36,332
0.00,126.52,131.23,332
0.00,128.00,132.79,332
0.00,128.54,132.31,332
0.00,128.67,131.95,332
